orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,Product,Sales,CustomerNumber,CustomerName,CustomerCountry,CustomerCity,customer_order_status,cust_fname,cust_lname,cust_state,product_vender,order_date,Revenue
10331,S24_4620,41,70.33,2,1961 Chevrolet Impala,"2,883.53",486,Motor Mint Distributors Inc.,USA,Philadelphia,Shipped,Rosa,Salazar,PA,Classic Metal Creations,17-Nov-04,7883.53
10332,S18_4409,50,92.03,2,1932 Alfa Romeo 8C2300 Spider Sport,"4,601.50",187,"AV Stores, Co.",UK,Manchester,Shipped,Rachel,Ashworth,NULL,Exoto Designs,17-Nov-04,9601.5
10333,S18_3320,46,95.24,2,1917 Maxwell Touring Car,"4,381.04",129,Mini Wheels Co.,USA,San Francisco,Shipped,Julie,Murphy,CA,Exoto Designs,18-Nov-04,9381.04
10334,S10_4962,26,130.01,2,1962 LanciaA Delta 16V,"3,380.26",144,"Volvo Model Replicas, Co",Sweden,Luleå,On Hold,Christina,Berglund,NULL,Second Gear Diecast,19-Nov-04,8380.26
10335,S24_2840,33,32.88,2,1958 Chevy Corvette Limited Edition,"1,085.04",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Carousel DieCast Legends,19-Nov-04,6085.04
10336,S700_2824,46,94.07,2,1982 Camaro Z28,"4,327.22",172,"La Corne D'abondance, Co.",France,Paris,Shipped,Marie,Bertrand,NULL,Carousel DieCast Legends,20-Nov-04,9327.22
10337,S18_4522,29,76.36,2,1904 Buick Runabout,"2,214.44",424,Classic Legends Inc.,USA,NYC,Shipped,Maria,Hernandez,NY,Exoto Designs,21-Nov-04,7214.44
10338,S18_3856,45,93.17,2,1941 Chevrolet Special Deluxe Cabriolet,"4,192.65",381,Royale Belge,Belgium,Charleroi,Shipped,Pascale,Cartrain,NULL,Exoto Designs,22-Nov-04,9192.65
10339,S18_2581,27,79.41,2,P-51-D Mustang,"2,144.07",398,"Tokyo Collectables, Ltd",Japan,Minato-ku,Shipped,Akiko,Shimamura,Tokyo,Gearbox Collectibles,23-Nov-04,7144.07
10340,S32_1374,55,95.89,2,1997 BMW F650 ST,"5,273.95",216,Enaco Distributors,Spain,Barcelona,Shipped,Eduardo,Saavedra,NULL,Exoto Designs,24-Nov-04,10273.95
10341,S12_1099,45,192.62,2,1968 Ford Mustang,"8,667.90",382,Salzburg Collectables,Austria,Salzburg,Shipped,Georg,Pipps,NULL,Autoart Studio Design,24-Nov-04,13667.9
10342,S18_1129,40,118.89,2,1993 Mazda RX-7,"4,755.60",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Highway 66 Mini Classics,24-Nov-04,9755.6
10343,S18_3685,44,127.15,2,1948 Porsche Type 356 Roadster,"5,594.60",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Gearbox Collectibles,24-Nov-04,10594.6
10344,S18_2248,40,49.04,2,1911 Ford Town Car,"1,961.60",350,Marseille Mini Autos,France,Marseille,Shipped,Laurence,Lebihan,NULL,Motor City Art Classics,25-Nov-04,6961.6
10346,S24_3191,24,80.47,2,1969 Chevrolet Camaro Z28,"1,931.28",112,Signal Gift Stores,USA,Las Vegas,Shipped,Jean,King,NV,Exoto Designs,29-Nov-04,6931.28
10347,S10_4962,27,132.97,2,1962 LanciaA Delta 16V,"3,590.19",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Second Gear Diecast,29-Nov-04,8590.19
10348,S24_4258,39,82.78,2,1936 Chrysler Airflow,"3,228.42",458,"Corrida Auto Replicas, Ltd",Spain,Madrid,Shipped,Martín,Sommer,NULL,Second Gear Diecast,1-Nov-04,8228.42
10349,S24_4048,23,111.18,2,1992 Porsche Cayenne Turbo Silver,"2,557.14",151,Muscle Machine Inc,USA,NYC,Shipped,Jeff,Young,NY,Exoto Designs,1-Dec-04,7557.14
10350,S18_3259,41,94.79,2,Collectable Wooden Train,"3,886.39",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Carousel DieCast Legends,2-Dec-04,8886.39
10351,S18_3856,20,104.81,2,1941 Chevrolet Special Deluxe Cabriolet,"2,096.20",324,"Stylish Desk Decors, Co.",UK,London,Shipped,Ann,Brown,NULL,Exoto Designs,3-Dec-04,7096.2
10352,S700_2466,49,87.75,2,America West Airlines B757-200,"4,299.75",198,Auto-Moto Classics Inc.,USA,Brickhaven,Shipped,Leslie,Taylor,MA,Motor City Art Classics,3-Dec-04,9299.75
10353,S24_1785,28,107.23,2,1928 British Royal Navy Airplane,"3,002.44",447,Gift Ideas Corp.,USA,Glendale,Shipped,Dan,Lewis,CT,Classic Metal Creations,4-Dec-04,8002.44
10354,S10_2016,20,95.15,2,1996 Moto Guzzi 1100i,"1,903.00",323,"Down Under Souveniers, Inc",New Zealand,Auckland,Shipped,Mike,Graham,NULL,Highway 66 Mini Classics,4-Dec-04,6903
10355,S18_4721,25,124.99,2,1957 Corvette Convertible,"3,124.75",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Classic Metal Creations,7-Dec-04,8124.75
10356,S18_1984,27,130.87,2,1995 Honda Civic,"3,533.49",250,Lyon Souveniers,France,Paris,Shipped,Daniel,Da Silva,NULL,Min Lin Diecast,9-Dec-04,8533.49
10357,S18_4600,28,105.34,2,1940s Ford truck,"2,949.52",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Motor City Art Classics,10-Dec-04,7949.52
10358,S32_3522,36,51.71,2,1996 Peterbilt 379 Stake Bed with Outrigger,"1,861.56",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Red Start Diecast,10-Dec-04,6861.56
10359,S50_1392,46,99.55,2,Diamond T620 Semi-Skirted Tanker,"4,579.30",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Highway 66 Mini Classics,15-Dec-04,9579.3
10360,S24_2011,31,100.77,2,18th century schooner,"3,123.87",496,Kelly's Gift Shop,New Zealand,Auckland,Shipped,Tony,Snowden,NULL,Carousel DieCast Legends,16-Dec-04,8123.87
10361,S32_4289,49,56.41,2,1928 Ford Phaeton Deluxe,"2,764.09",282,Souveniers And Things Co.,Australia,Chatswood,Shipped,Adrian,Huxley,NSW,Highway 66 Mini Classics,17-Dec-04,7764.09
10362,S24_1578,50,91.29,2,1997 BMW R 1100 S,"4,564.50",161,Technics Stores Inc.,USA,Burlingame,Shipped,Juri,Hashimoto,CA,Autoart Studio Design,5-Jan-05,9564.5
10363,S32_1374,50,92.9,2,1997 BMW F650 ST,"4,645.00",334,Suominen Souveniers,Finland,Espoo,Shipped,Kalle,Suominen,NULL,Exoto Designs,6-Jan-05,9645
10365,S50_4713,44,68.34,2,2002 Yamaha YZR M1,"3,006.96",320,Mini Creations Ltd.,USA,New Bedford,Shipped,Wing,Huang,MA,Autoart Studio Design,7-Jan-05,8006.96
10366,S18_2870,49,105.6,2,1999 Indy 500 Monte Carlo SS,"5,174.40",381,Royale Belge,Belgium,Charleroi,Shipped,Pascale,Cartrain,NULL,Red Start Diecast,10-Jan-05,10174.4
10367,S24_2972,36,36.25,2,1982 Lamborghini Diablo,"1,305.00",205,Toys4GrownUps.com,USA,Pasadena,Resolved,Julie,Young,CA,Second Gear Diecast,12-Jan-05,6305
10368,S24_2766,40,73.6,2,1949 Jaguar XK 120,"2,944.00",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Classic Metal Creations,19-Jan-05,7944
10369,S10_1949,41,195.01,2,1952 Alpine Renault 1300,"7,995.41",379,Collectables For Less Inc.,USA,Brickhaven,Shipped,Allen,Nelson,MA,Classic Metal Creations,20-Jan-05,12995.41
10370,S18_4668,20,41.76,2,1939 Cadillac Limousine,835.20,276,"Anna's Decorations, Ltd",Australia,North Sydney,Shipped,Anna,O'Hara,NSW,Studio M Art Models,20-Jan-05,5835.2
10371,S32_2509,20,44.37,2,1954 Greyhound Scenicruiser,887.40,124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Classic Metal Creations,23-Jan-05,5887.4
10372,S700_1938,44,74.48,2,The Mayflower,"3,277.12",398,"Tokyo Collectables, Ltd",Japan,Minato-ku,Shipped,Akiko,Shimamura,Tokyo,Studio M Art Models,26-Jan-05,8277.12
10373,S700_3505,34,94.16,2,The Titanic,"3,201.44",311,"Oulu Toy Supplies, Inc.",Finland,Oulu,Shipped,Pirkko,Koskitalo,NULL,Carousel DieCast Legends,31-Jan-05,8201.44
10374,S18_2581,42,75.19,2,P-51-D Mustang,"3,157.98",333,"Australian Gift Network, Co",Australia,South Brisbane,Shipped,Ben,Calaghan,Queensland,Gearbox Collectibles,2-Feb-05,8157.98
10375,S24_4278,43,60.13,2,1900s Vintage Tri-Plane,"2,585.59",119,La Rochelle Gifts,France,Nantes,Shipped,Janine,Labrune,NULL,Unimax Art Galleries,3-Feb-05,7585.59
10377,S18_1129,35,124.56,2,1993 Mazda RX-7,"4,359.60",186,"Toys of Finland, Co.",Finland,Helsinki,Shipped,Matti,Karttunen,NULL,Highway 66 Mini Classics,9-Feb-05,9359.6
10378,S24_4620,41,80.84,2,1961 Chevrolet Impala,"3,314.44",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Classic Metal Creations,10-Feb-05,8314.44
10379,S18_1749,39,156.4,2,1917 Grand Touring Sedan,"6,099.60",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Welly Diecast Productions,10-Feb-05,11099.6
10380,S18_4933,24,66.99,2,1957 Ford Thunderbird,"1,607.76",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Studio M Art Models,16-Feb-05,6607.76
10381,S18_1097,48,114.34,2,1940 Ford Pickup Truck,"5,488.32",321,Corporate Gift Ideas Co.,USA,San Francisco,Shipped,Julie,Brown,CA,Studio M Art Models,17-Feb-05,10488.32
10382,S18_4668,39,46.29,2,1939 Cadillac Limousine,"1,805.31",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Studio M Art Models,17-Feb-05,6805.31
10383,S24_1444,22,52.6,2,1970 Dodge Coronet,"1,157.20",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Highway 66 Mini Classics,22-Feb-05,6157.2
10384,S24_3151,43,71.69,2,1912 Ford Model T Delivery Wagon,"3,082.67",321,Corporate Gift Ideas Co.,USA,San Francisco,Shipped,Julie,Brown,CA,Min Lin Diecast,23-Feb-05,8082.67
10385,S24_3816,37,78.83,2,1940 Ford Delivery Sedan,"2,916.71",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Carousel DieCast Legends,28-Feb-05,7916.71
10386,S700_3505,45,83.14,2,The Titanic,"3,741.30",141,Euro+ Shopping Channel,Spain,Madrid,Resolved,Diego,Freyre,NULL,Carousel DieCast Legends,1-Mar-05,8741.3
10388,S700_1691,46,74.9,2,American Airlines: B767-300,"3,445.40",462,FunGiftIdeas.com,USA,New Bedford,Shipped,Violeta,Benitez,MA,Min Lin Diecast,3-Mar-05,8445.4
10389,S24_2000,49,61.7,2,1960 BSA Gold Star DBD34,"3,023.30",448,Scandinavian Gift Ideas,Sweden,Bräcke,Shipped,Martha,Larsson,NULL,Highway 66 Mini Classics,3-Mar-05,8023.3
10390,S18_3782,36,54.09,2,1957 Vespa GS150,"1,947.24",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Studio M Art Models,4-Mar-05,6947.24
10391,S18_1342,35,102.74,2,1937 Lincoln Berline,"3,595.90",276,"Anna's Decorations, Ltd",Australia,North Sydney,Shipped,Anna,O'Hara,NSW,Motor City Art Classics,9-Mar-05,8595.9
10392,S18_3136,29,103.67,2,18th Century Vintage Horse Carriage,"3,006.43",452,Mini Auto Werke,Austria,Graz,Shipped,Roland,Mendel,NULL,Red Start Diecast,10-Mar-05,8006.43
10393,S24_2300,33,112.46,2,1962 Volkswagen Microbus,"3,711.18",323,"Down Under Souveniers, Inc",New Zealand,Auckland,Shipped,Mike,Graham,NULL,Autoart Studio Design,11-Mar-05,8711.18
10394,S24_1444,31,53.18,2,1970 Dodge Coronet,"1,648.58",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Highway 66 Mini Classics,15-Mar-05,6648.58
10395,S10_4757,32,125.12,2,1972 Alfa Romeo GTA,"4,003.84",250,Lyon Souveniers,France,Paris,Shipped,Daniel,Da Silva,NULL,Motor City Art Classics,17-Mar-05,9003.84
10396,S18_3140,33,129.76,2,1903 Ford Model A,"4,282.08",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Unimax Art Galleries,23-Mar-05,9282.08
10397,S700_3962,36,80.44,2,The Queen Mary,"2,895.84",242,Alpha Cognac,France,Toulouse,Shipped,Annette,Roulet,NULL,Welly Diecast Productions,28-Mar-05,7895.84
10398,S24_3949,41,56.64,2,Corsair F4U ( Bird Cage),"2,322.24",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Second Gear Diecast,30-Mar-05,7322.24
10399,S24_2000,58,75.41,2,1960 BSA Gold Star DBD34,"4,373.78",496,Kelly's Gift Shop,New Zealand,Auckland,Shipped,Tony,Snowden,NULL,Highway 66 Mini Classics,1-Apr-05,9373.78
10400,S24_2841,24,55.49,2,1900s Vintage Bi-Plane,"1,331.76",450,The Sharp Gifts Warehouse,USA,San Jose,Shipped,Sue,Frick,CA,Autoart Studio Design,1-Apr-05,6331.76
10401,S700_2834,21,96.11,2,ATA: B757-300,"2,018.31",328,Tekni Collectables Inc.,USA,Newark,On Hold,William,Brown,NJ,Highway 66 Mini Classics,3-Apr-05,7018.31
10402,S18_2625,55,58.15,2,1936 Harley Davidson El Knucklehead,"3,198.25",406,Auto Canal+ Petit,France,Paris,Shipped,Dominique,Perrier,NULL,Welly Diecast Productions,7-Apr-05,8198.25
10403,S32_2206,30,35.8,2,1982 Ducati 996 R,"1,074.00",201,"UK Collectables, Ltd.",UK,Liverpool,Shipped,Elizabeth,Devon,NULL,Gearbox Collectibles,8-Apr-05,6074
10404,S24_3371,49,53.27,2,1971 Alpine Renault 1600s,"2,610.23",323,"Down Under Souveniers, Inc",New Zealand,Auckland,Shipped,Mike,Graham,NULL,Welly Diecast Productions,8-Apr-05,7610.23
10405,S24_2972,47,37.38,2,1982 Lamborghini Diablo,"1,756.86",209,Mini Caravy,France,Strasbourg,Shipped,Frédérique,Citeaux,NULL,Second Gear Diecast,14-Apr-05,6756.86
10406,S18_1984,48,133.72,2,1995 Honda Civic,"6,418.56",145,Danish Wholesale Imports,Denmark,Kobenhavn,Disputed,Jytte,Petersen,NULL,Min Lin Diecast,15-Apr-05,11418.56
10407,S18_1749,76,141.1,2,1917 Grand Touring Sedan,"10,723.60",450,The Sharp Gifts Warehouse,USA,San Jose,On Hold,Sue,Frick,CA,Welly Diecast Productions,22-Apr-05,15723.6
10409,S18_2325,6,104.25,2,1932 Model A Ford J-Coupe,625.50,166,Handji Gifts& Co,Singapore,Singapore,Shipped,Wendy,Victorino,NULL,Autoart Studio Design,23-Apr-05,5625.5
10410,S18_3136,34,84.82,2,18th Century Vintage Horse Carriage,"2,883.88",357,GiftsForHim.com,New Zealand,Auckland,Shipped,Wales,MacKinlay,NULL,Red Start Diecast,29-Apr-05,7883.88
10411,S10_4962,27,144.79,2,1962 LanciaA Delta 16V,"3,909.33",233,Québec Home Shopping Network,Canada,Montréal,Shipped,Jean,Fresnière,Québec,Second Gear Diecast,1-May-05,8909.33
10412,S24_1444,21,47.4,2,1970 Dodge Coronet,995.40,141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Highway 66 Mini Classics,3-May-05,5995.4
10413,S12_1108,36,201.57,2,2001 Ferrari Enzo,"7,256.52",175,Gift Depot Inc.,USA,Bridgewater,Shipped,Julie,King,CT,Second Gear Diecast,5-May-05,12256.52
10414,S24_3816,51,72.96,2,1940 Ford Delivery Sedan,"3,720.96",362,Gifts4AllAges.com,USA,Boston,On Hold,Juri,Yoshido,MA,Carousel DieCast Legends,6-May-05,8720.96
10415,S24_3420,18,59.83,2,1937 Horch 930V Limousine,"1,076.94",471,"Australian Collectables, Ltd",Australia,Glen Waverly,Disputed,Sean,Clenahan,Victoria,Autoart Studio Design,9-May-05,6076.94
10416,S32_1374,45,86.9,2,1997 BMW F650 ST,"3,910.50",386,L'ordine Souveniers,Italy,Reggio Emilia,Shipped,Maurizio,Moroni,NULL,Exoto Designs,10-May-05,8910.5
10417,S10_1678,66,79.43,2,1969 Harley Davidson Ultimate Chopper,"5,242.38",141,Euro+ Shopping Channel,Spain,Madrid,Disputed,Diego,Freyre,NULL,Min Lin Diecast,13-May-05,10242.38
10418,S18_3278,16,70.76,2,1969 Dodge Super Bee,"1,132.16",412,"Extreme Desk Decorations, Ltd",New Zealand,Wellington,Shipped,Sarah,McRoy,NULL,Min Lin Diecast,16-May-05,6132.16
10419,S18_2870,55,116.16,2,1999 Indy 500 Monte Carlo SS,"6,388.80",382,Salzburg Collectables,Austria,Salzburg,Shipped,Georg,Pipps,NULL,Red Start Diecast,17-May-05,11388.8
10420,S18_2325,45,116.96,2,1932 Model A Ford J-Coupe,"5,263.20",282,Souveniers And Things Co.,Australia,Chatswood,In Process,Adrian,Huxley,NSW,Autoart Studio Design,29-May-05,10263.2
10421,S24_2022,40,44.8,2,1938 Cadillac V-16 Presidential Limousine,"1,792.00",124,Mini Gifts Distributors Ltd.,USA,San Rafael,In Process,Susan,Nelson,CA,Classic Metal Creations,29-May-05,6792
10422,S18_1342,51,91.44,2,1937 Lincoln Berline,"4,663.44",157,Diecast Classics Inc.,USA,Allentown,In Process,Kelvin,Leong,PA,Motor City Art Classics,30-May-05,9663.44
10423,S18_3136,21,98.44,2,18th Century Vintage Horse Carriage,"2,067.24",314,Petit Auto,Belgium,Bruxelles,In Process,Catherine,Dewey,NULL,Red Start Diecast,30-May-05,7067.24
10424,S32_3522,44,54.94,2,1996 Peterbilt 379 Stake Bed with Outrigger,"2,417.36",141,Euro+ Shopping Channel,Spain,Madrid,In Process,Diego,Freyre,NULL,Red Start Diecast,31-May-05,7417.36
10425,S50_1392,18,94.92,2,Diamond T620 Semi-Skirted Tanker,"1,708.56",119,La Rochelle Gifts,France,Nantes,In Process,Janine,Labrune,NULL,Highway 66 Mini Classics,31-May-05,6708.56
10100,S18_1749,30,136,3,1917 Grand Touring Sedan,"4,080.00",363,Online Diecast Creations Co.,USA,Nashua,Shipped,Dorothy,Young,NH,Welly Diecast Productions,6-Jan-03,9080
10101,S24_1937,45,32.53,3,1939 Chevrolet Deluxe Coupe,"1,463.85",128,"Blauer See Auto, Co.",Germany,Frankfurt,Shipped,Roland,Keitel,NULL,Motor City Art Classics,9-Jan-03,6463.85
10103,S32_1268,31,92.46,3,1980’s GM Manhattan Express,"2,866.26",121,Baane Mini Imports,Norway,Stavern,Shipped,Jonas,Bergulfsen,NULL,Motor City Art Classics,29-Jan-03,7866.26
10104,S18_4027,38,119.2,3,1970 Triumph Spitfire,"4,529.60",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Min Lin Diecast,31-Jan-03,9529.6
10105,S700_2610,31,60.72,3,The USS Constitution Ship,"1,882.32",145,Danish Wholesale Imports,Denmark,Kobenhavn,Shipped,Jytte,Petersen,NULL,Red Start Diecast,11-Feb-03,6882.32
10106,S24_4278,26,71,3,1900s Vintage Tri-Plane,"1,846.00",278,Rovelli Gifts,Italy,Bergamo,Shipped,Giovanni,Rovelli,NULL,Unimax Art Galleries,17-Feb-03,6846
10107,S24_1578,25,96.92,3,1997 BMW R 1100 S,"2,423.00",131,Land of Toys Inc.,USA,NYC,Shipped,Kwai,Lee,NY,Autoart Studio Design,24-Feb-03,7423
10108,S12_4675,36,107.1,3,1969 Dodge Charger,"3,855.60",385,Cruz & Sons Co.,Philippines,Makati City,Shipped,Arnold,Cruz,NULL,Welly Diecast Productions,3-Mar-03,8855.6
10109,S18_1984,38,137.98,3,1995 Honda Civic,"5,243.24",486,Motor Mint Distributors Inc.,USA,Philadelphia,Shipped,Rosa,Salazar,PA,Min Lin Diecast,10-Mar-03,10243.24
10110,S24_1937,20,28.88,3,1939 Chevrolet Deluxe Coupe,577.60,187,"AV Stores, Co.",UK,Manchester,Shipped,Rachel,Ashworth,NULL,Motor City Art Classics,18-Mar-03,5577.6
10111,S24_4258,26,85.7,3,1936 Chrysler Airflow,"2,228.20",129,Mini Wheels Co.,USA,San Francisco,Shipped,Julie,Murphy,CA,Second Gear Diecast,25-Mar-03,7228.2
10113,S18_4668,50,43.27,3,1939 Cadillac Limousine,"2,163.50",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Studio M Art Models,26-Mar-03,7163.5
10114,S18_2319,39,106.78,3,1964 Mercedes Tour Bus,"4,164.42",172,"La Corne D'abondance, Co.",France,Paris,Shipped,Marie,Bertrand,NULL,Unimax Art Galleries,1-Apr-03,9164.42
10115,S50_1392,27,100.7,3,Diamond T620 Semi-Skirted Tanker,"2,718.90",424,Classic Legends Inc.,USA,NYC,Shipped,Maria,Hernandez,NY,Highway 66 Mini Classics,4-Apr-03,7718.9
10117,S24_2011,41,119.2,3,18th century schooner,"4,887.20",148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Shipped,Eric,Natividad,NULL,Carousel DieCast Legends,16-Apr-03,9887.2
10119,S18_1662,43,151.38,3,1980s Black Hawk Helicopter,"6,509.34",382,Salzburg Collectables,Austria,Salzburg,Shipped,Georg,Pipps,NULL,Red Start Diecast,28-Apr-03,11509.34
10120,S10_2016,29,118.94,3,1996 Moto Guzzi 1100i,"3,449.26",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Highway 66 Mini Classics,29-Apr-03,8449.26
10121,S32_4485,25,95.93,3,1974 Ducati 350 Mk3 Desmo,"2,398.25",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Second Gear Diecast,7-May-03,7398.25
10122,S18_3232,25,137.17,3,1992 Ferrari 360 Spider red,"3,429.25",350,Marseille Mini Autos,France,Marseille,Shipped,Laurence,Lebihan,NULL,Unimax Art Galleries,8-May-03,8429.25
10123,S18_2870,46,114.84,3,1999 Indy 500 Monte Carlo SS,"5,282.64",103,Atelier graphique,France,Nantes,Shipped,Carine,Schmitt,NULL,Red Start Diecast,20-May-03,10282.64
10124,S18_2325,42,111.87,3,1932 Model A Ford J-Coupe,"4,698.54",112,Signal Gift Stores,USA,Las Vegas,Shipped,Jean,King,NV,Autoart Studio Design,21-May-03,9698.54
10126,S32_1268,43,82.83,3,1980’s GM Manhattan Express,"3,561.69",458,"Corrida Auto Replicas, Ltd",Spain,Madrid,Shipped,Martín,Sommer,NULL,Motor City Art Classics,28-May-03,8561.69
10127,S12_3148,46,140.5,3,1969 Corvair Monza,"6,463.00",151,Muscle Machine Inc,USA,NYC,Shipped,Jeff,Young,NY,Welly Diecast Productions,3-Jun-03,11463
10128,S700_1938,32,72.75,3,The Mayflower,"2,328.00",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Studio M Art Models,6-Jun-03,7328
10129,S700_2610,45,72.28,3,The USS Constitution Ship,"3,252.60",324,"Stylish Desk Decors, Co.",UK,London,Shipped,Ann,Brown,NULL,Red Start Diecast,12-Jun-03,8252.6
10131,S24_3949,50,54.59,3,Corsair F4U ( Bird Cage),"2,729.50",447,Gift Ideas Corp.,USA,Glendale,Shipped,Dan,Lewis,CT,Second Gear Diecast,16-Jun-03,7729.5
10133,S18_2581,49,80.26,3,P-51-D Mustang,"3,932.74",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Gearbox Collectibles,27-Jun-03,8932.74
10134,S24_1578,35,94.67,3,1997 BMW R 1100 S,"3,313.45",250,Lyon Souveniers,France,Paris,Shipped,Daniel,Da Silva,NULL,Autoart Studio Design,1-Jul-03,8313.45
10135,S18_1889,48,66.99,3,1948 Porsche 356-A Roadster,"3,215.52",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Gearbox Collectibles,2-Jul-03,8215.52
10136,S18_3232,41,169.34,3,1992 Ferrari 360 Spider red,"6,942.94",242,Alpha Cognac,France,Toulouse,Shipped,Annette,Roulet,NULL,Unimax Art Galleries,4-Jul-03,11942.94
10137,S18_2870,37,110.88,3,1999 Indy 500 Monte Carlo SS,"4,102.56",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Red Start Diecast,10-Jul-03,9102.56
10138,S18_2325,38,114.42,3,1932 Model A Ford J-Coupe,"4,347.96",496,Kelly's Gift Shop,New Zealand,Auckland,Shipped,Tony,Snowden,NULL,Autoart Studio Design,7-Jul-03,9347.96
10139,S18_2957,20,52.47,3,1934 Ford V8 Coupe,"1,049.40",282,Souveniers And Things Co.,Australia,Chatswood,Shipped,Adrian,Huxley,NSW,Min Lin Diecast,16-Jul-03,6049.4
10140,S32_1268,26,87.64,3,1980’s GM Manhattan Express,"2,278.64",161,Technics Stores Inc.,USA,Burlingame,Shipped,Juri,Hashimoto,CA,Motor City Art Classics,24-Jul-03,7278.64
10141,S50_1392,44,94.92,3,Diamond T620 Semi-Skirted Tanker,"4,176.48",334,Suominen Souveniers,Finland,Espoo,Shipped,Kalle,Suominen,NULL,Highway 66 Mini Classics,1-Aug-03,9176.48
10142,S700_3505,21,92.16,3,The Titanic,"1,935.36",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Carousel DieCast Legends,8-Aug-03,6935.36
10143,S700_3167,28,70.4,3,F/A 18 Hornet 1/72,"1,971.20",320,Mini Creations Ltd.,USA,New Bedford,Shipped,Wing,Huang,MA,Motor City Art Classics,10-Aug-03,6971.2
10145,S24_2360,27,56.1,3,1982 Ducati 900 Monster,"1,514.70",205,Toys4GrownUps.com,USA,Pasadena,Shipped,Julie,Young,CA,Highway 66 Mini Classics,25-Aug-03,6514.7
10147,S18_1889,26,70.84,3,1948 Porsche 356-A Roadster,"1,841.84",379,Collectables For Less Inc.,USA,Brickhaven,Shipped,Allen,Nelson,MA,Gearbox Collectibles,5-Sep-03,6841.84
10148,S24_2887,34,115.09,3,1952 Citroen-15CV,"3,913.06",276,"Anna's Decorations, Ltd",Australia,North Sydney,Shipped,Anna,O'Hara,NSW,Exoto Designs,11-Sep-03,8913.06
10149,S18_1367,30,48.52,3,1936 Mercedes-Benz 500K Special Roadster,"1,455.60",487,Signal Collectibles Ltd.,USA,Brisbane,Shipped,Sue,Taylor,CA,Studio M Art Models,12-Sep-03,6455.6
10150,S700_2824,20,95.08,3,1982 Camaro Z28,"1,901.60",148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Shipped,Eric,Natividad,NULL,Carousel DieCast Legends,19-Sep-03,6901.6
10151,S12_4473,24,114.95,3,1957 Chevy Pickup,"2,758.80",311,"Oulu Toy Supplies, Inc.",Finland,Oulu,Shipped,Pirkko,Koskitalo,NULL,Exoto Designs,21-Sep-03,7758.8
10152,S24_4048,23,112.37,3,1992 Porsche Cayenne Turbo Silver,"2,584.51",333,"Australian Gift Network, Co",Australia,South Brisbane,Shipped,Ben,Calaghan,Queensland,Exoto Designs,25-Sep-03,7584.51
10153,S700_3962,20,85.41,3,The Queen Mary,"1,708.20",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Welly Diecast Productions,28-Sep-03,6708.2
